00110111 00110100 00110001 00110011 00110000 00110000 00110001 00110000  ; Av. Assis Chateaubriand
00110111 00110010 00111000 00110000 00110000 00110000 00110001 00110000  ; Rua do Comércio
00110111 00110010 00111000 00110000 00110000 00110000 00110010 00110000  ; Avenida José Vieira Primo
00110111 00110010 00111000 00110000 00110000 00110000 00110010 00110101  ; Travessa Deputado Jesus Meireles
00110111 00110010 00111000 00110000 00110000 00110000 00110011 00110000  ; Praça Expedicionário José Francisco de Souza
00110111 00110010 00111000 00110000 00110000 00110000 00110100 00110000  ; Travessa Nirson Carneiro
00110111 00110010 00111000 00110000 00110000 00110000 00110101 00110000  ; Travessa Amador Braz de Queiróz
00110111 00110010 00111000 00110000 00110000 00110000 00110110 00110000  ; Praça Nirson Carneiro Lobo
00110111 00110010 00111000 00110000 00110000 00110000 00110111 00110000  ; Rua Ofirbraz
00110111 00110010 00111000 00110000 00110000 00110000 00111000 00110000  ; Rua João Braz
00110111 00110010 00111000 00110000 00110000 00110000 00111001 00110000  ; Praça Germires Reis
00110111 00110010 00111000 00110000 00110000 00110001 00110000 00110000  ; Rua Aloísio Gonçalves
00110111 00110010 00111000 00110000 00110000 00110001 00110001 00110000  ; Rua Jk
00110111 00110010 00111000 00110000 00110000 00110001 00110010 00110000  ; Rua João Paulo
00110111 00110010 00111000 00110000 00110000 00110001 00110011 00110000  ; Rua Manoel Carvalho Resende
00110111 00110010 00111000 00110000 00110000 00110001 00110100 00110000  ; Travessa Milton Meireles
00110111 00110010 00111000 00110000 00110000 00110001 00110101 00110000  ; Rua Ophir José Braz
00110111 00110010 00111000 00110000 00110000 00110001 00110110 00110000  ; Rua José Eugênio
00110111 00110010 00111000 00110000 00110000 00110001 00110111 00110000  ; Rua Villi Curado
00110111 00110010 00111000 00110000 00110000 00110001 00110111 00110101  ; Praça Desembargador Milton Sebastião Barbosa
00110111 00110010 00111000 00110000 00110000 00110001 00111000 00110000  ; Rua Aloísio
00110111 00110010 00111000 00110000 00110000 00110001 00111001 00110000  ; Rua Joaquim Mendonça Roriz
00110111 00110010 00111000 00110000 00110000 00110001 00111001 00110101  ; Travessa Joaquim Mendonça Roriz
00110111 00110010 00111000 00110000 00110000 00110010 00110000 00110000  ; Rua Coronel Antônio Carneiro
00110111 00110010 00111000 00110000 00110000 00110010 00110010 00110000  ; Rua José de Melo
00110111 00110010 00111000 00110000 00110000 00110010 00110010 00110011  ; Travessa Geremias Roriz
00110111 00110010 00111000 00110000 00110000 00110010 00110010 00110101  ; Travessa Dionísio Meireles
00110111 00110010 00111000 00110000 00110000 00110010 00110011 00110000  ; Travessa Epaminondas Roriz
00110111 00110010 00111000 00110000 00110000 00110010 00110100 00110000  ; Travessa T Gomes
00110111 00110010 00111000 00110000 00110000 00110010 00110101 00110000  ; Travessa Manoel Bráz
00110111 00110010 00111000 00110000 00110000 00110010 00110110 00110000  ; Travessa José de Melo
00110111 00110010 00111000 00110000 00110000 00110010 00110111 00110000  ; Praça Raimundo Alves de Melo
00110111 00110010 00111000 00110000 00110000 00110010 00110111 00110101  ; Avenida Juventino Rodrigues
00110111 00110010 00111000 00110000 00110000 00110010 00110111 00110111  ; Rua Gutemberg Roriz
00110111 00110010 00111000 00110000 00110000 00110010 00111000 00110000  ; Rua do Santíssimo Sacramento
00110111 00110010 00111000 00110000 00110000 00110010 00111000 00110011  ; Praça da Matriz
00110111 00110010 00111000 00110000 00110000 00110010 00111000 00110101  ; Rua Joaquim Alves Meireles
00110111 00110010 00111000 00110000 00110000 00110010 00111001 00110000  ; Rua Sebastião Elias dos Reis
00110111 00110010 00111000 00110000 00110000 00110010 00111001 00110101  ; Avenida Osvaldo Morais
00110111 00110010 00111000 00110000 00110000 00110011 00110000 00110000  ; Rua Zig Zag
00110111 00110010 00111000 00110000 00110000 00110011 00110000 00110101  ; Rua Sebastião Elias
00110111 00110010 00111000 00110000 00110000 00110011 00110001 00110000  ; Travessa Balbino Vasquez
00110111 00110010 00111000 00110000 00110000 00110011 00110010 00110000  ; Travessa dos Mineiros
00110111 00110010 00111000 00110000 00110000 00110011 00110011 00110000  ; Avenida Central
00110111 00110010 00111000 00110000 00110000 00110011 00110100 00110000  ; Rua Josué Meireles
00110111 00110010 00111000 00110000 00110000 00110011 00110110 00110000  ; Rua Nestor Ribeiro
00110111 00110010 00111000 00110000 00110000 00110011 00110111 00110000  ; Travessa Santa Maria
00110111 00110010 00111000 00110000 00110000 00110011 00111000 00110000  ; Rua Benjamim Roriz; Rua Benjamin Roriz
00110111 00110010 00111000 00110000 00110000 00110011 00111001 00110000  ; Travessa Padre Rosa
00110111 00110010 00111000 00110000 00110000 00110100 00110000 00110000  ; Rua Artur Roriz
00110111 00110010 00111000 00110000 00110000 00110100 00110001 00110000  ; Beco Padre Rosa
00110111 00110010 00111000 00110000 00110000 00110100 00110010 00110000  ; Rua Doutor Ézio Carneiro
00110111 00110010 00111000 00110000 00110000 00110100 00110011 00110000  ; Rua Padre Rosa
00110111 00110010 00111000 00110000 00110000 00110100 00110100 00110000  ; Rua Doutor João Teixeira
00110111 00110010 00111000 00110000 00110000 00110100 00110101 00110000  ; Rua Municipal
00110111 00110010 00111000 00110000 00110000 00110100 00110110 00110000  ; Rua Padre Domingos
00110111 00110010 00111000 00110000 00110000 00110100 00110111 00110000  ; Travessa Padre Domingos
00110111 00110010 00111000 00110000 00110000 00110100 00111000 00110000  ; Rua Manoel Roriz
00110111 00110010 00111000 00110000 00110000 00110100 00111001 00110000  ; Rua Padre Bernardo
